Number of Methods,depthOfInheritanceTree,Number of Children ,Coupling between Object Classes,Response for a Class,Lack of Cohesion in Methods,Afferent Coupling ,Number of Public Methods,Efferent Couplings,Lack of Cohesion in Methods 3,Lines of Code,Data Access Metric,Measure of Agregation,Measure of Funcional Abstraction,Cohesion Among Methods,Inheritance Coupling,Coupling Between Methods,Average Method Complexity,Average CC,Max CC,Min CC,Class Complexity CKJM
7,0,0,5,37,19,0,6,5,2,636,0,0,0,0.4048,0,0,89.8571,5.714285714,10,1,0
2,1,0,5,12,1,0,1,5,2,167,0,0,0,0.6667,0,0,82.5,16,31,1,50
4,1,0,6,72,0,0,4,6,0.6061,1027,0,0,0,0.4063,0,0,253,5,14,1,25
2,1,0,8,37,1,0,2,8,2,231,0,0,0,0.75,0,0,114.5,5.5,10,1,0
3,1,0,2,39,3,0,3,2,2,692,0,0,0,0.6667,0,0,229.6667,10.66666667,16,1,66.66666667
2,1,0,0,11,1,0,2,0,2,110,0,0,0,0.5,0,0,54,6,11,1,50
57,1,0,4,73,388,0,7,4,0.6682,7456,0.2105,0,0,0.4179,0,0,129.4737,11.9122807,99,1,12.28070175
5,3,0,1,20,4,0,3,1,0.95,381,0.4,0,0.913,0.44,0,0,74.2,5.2,14,1,20
2,1,0,0,20,1,0,2,0,2,132,1,0,0,0.5,0,0,62.5,5,9,1,0
16,5,0,13,106,6,0,2,13,0.9333,2162,0.6,0,0.9786,0.2109,0,0,133.5,6.6875,25,1,25
9,0,0,12,57,0,0,2,12,0.75,1503,1,0,0,0.3333,0,0,165.4444,8.333333333,24,1,33.33333333
3,1,0,3,21,0,0,3,3,0.4091,339,1,0,0,0.5556,0,0,108.3333,5.333333333,8,1,0
4,1,0,3,30,2,0,2,3,0.7879,552,1,0,0,0.5,0,0,134.25,6.5,14,1,25
1,5,0,4,17,0,0,1,4,2,105,0,0,1,1,0,0,104,7,7,7,0
6,1,0,0,12,15,0,2,0,2,258,0,0,0,0.375,0,0,42,7.333333333,19,1,33.33333333
7,1,0,7,63,7,0,7,7,0.4167,698,1,0,0,0.4048,0,0,97.8571,5.428571429,30,1,14.28571429
28,1,0,0,83,228,0,4,0,0.8593,2163,0.92,0,0,0.1593,0,0,75.3571,5.392857143,55,1,7.142857143
7,1,0,1,46,21,0,6,1,1.1667,714,0.3333,0,0,0.2245,0,0,99.7143,9,25,1,28.57142857
14,1,0,23,144,79,0,13,23,0.6923,606,1,0,0,0.1131,0,0,42.2143,5,18,1,7.142857143
14,1,0,33,132,79,0,13,33,0.6923,646,1,0,0,0.1131,0,0,45.0714,5,20,1,7.142857143
2,1,0,5,20,1,0,2,5,2,143,0,0,0,0.6667,0,0,70.5,5.5,10,1,0
2,1,0,4,15,1,0,2,4,2,122,0,0,0,0.6667,0,0,60,7,13,1,50
8,1,0,7,44,6,0,5,7,0.7662,371,0.5455,0,0,0.3265,0,0,44,5.25,12,1,25
2,1,0,0,22,1,0,2,0,2,253,0,0,0,0.5,0,0,125.5,5.5,10,1,0
3,1,0,6,36,0,0,2,6,0.7692,449,0.0769,0,0,0.6667,0,0,144.3333,5.333333333,10,1,0
10,1,0,7,35,33,0,2,7,0.9097,567,0.375,0,0,0.4444,0,0,54.1,5.8,14,1,20
18,1,0,1,31,23,0,2,1,0.754,1896,0.9091,0,0,0.5294,0,0,103.7222,11.33333333,36,1,38.88888889
15,1,0,13,117,0,0,13,13,0.5714,1219,1,0,0,0.2533,0,0,80,6.4,50,1,6.666666667
6,1,0,2,72,0,0,6,2,0.3286,1297,1,0,0,0.4583,0,0,212.8333,5.166666667,20,1,16.66666667
7,1,0,4,62,0,0,7,4,0.5,1143,1,0,0,0.4643,0,0,160.5714,5.857142857,26,1,14.28571429
3,1,0,5,58,0,0,2,5,0.1667,245,1,0,0,0.4667,0,0,79.6667,5.333333333,8,1,0
38,1,0,4,89,27,0,5,4,0.6641,7025,0.4286,0,0,0.273,0,0,183.6842,10.39473684,40,1,39.47368421
3,1,0,1,10,3,0,2,1,2,280,0,0,0,0.3333,0,0,92.3333,8.666666667,24,1,33.33333333
28,1,0,12,106,164,0,19,12,0.8386,4051,0.2143,0,0,0.1964,0,0,143.1786,8.678571429,171,1,7.142857143
6,1,0,7,18,0,0,3,7,0.66,385,0.9,1,0,0.2917,0,0,61.5,5.666666667,17,1,16.66666667
16,1,0,4,33,92,0,0,4,0.9899,1693,0.2121,0,0,0.3083,0,0,102.75,6.5625,25,1,18.75
43,1,0,13,93,161,0,24,13,0.9177,5390,0.7193,1,0,0.1566,0,0,123.0233,8.813953488,46,1,30.23255814
5,1,0,6,51,6,0,2,6,0.9167,548,1,0,0,0.25,0,0,108,6.8,29,1,20
15,1,0,12,130,105,0,15,12,2,1569,0,0,0,0.4444,0,0,103.6,5.866666667,23,1,33.33333333
16,1,0,13,122,118,0,15,13,0.9333,1739,1,0,0,0.4444,0,0,107.625,5.375,16,1,25
3,2,0,8,19,0,0,3,8,0,124,1,0,0.8947,0.5556,0,0,40,5.333333333,11,1,33.33333333
10,3,0,12,56,7,0,6,12,0.7963,578,1,0,0.4706,0.3167,1,1,56.2,5.4,16,1,30
7,0,0,4,21,0,0,7,4,0.6111,216,1,0,0,0.3095,0,0,29.4286,5.142857143,27,1,14.28571429
9,0,0,6,20,0,0,6,6,0.75,863,1,0,0,0.5556,0,0,94.1111,7.666666667,61,1,11.11111111
6,1,0,15,65,3,0,3,15,0.5,402,1,0,0,0.4,0,0,65.3333,5,17,1,16.66666667
2,1,0,0,22,1,0,2,0,2,173,0,0,0,0.5,0,0,85.5,6.5,12,1,50
2,1,0,0,21,1,0,2,0,2,190,0,0,0,0.5,0,0,94,8,15,1,50
2,1,0,1,21,1,0,2,1,2,183,0,0,0,0.5,0,0,90.5,6.5,12,1,50
2,1,0,0,21,1,0,2,0,2,187,0,0,0,0.5,0,0,92.5,8,15,1,50
2,1,0,0,24,1,0,2,0,2,192,0,0,0,0.5,0,0,95,7,13,1,50
2,6,0,6,27,0,0,2,6,0.3333,170,1,0,0.9987,0.6,1,1,82.5,5,9,1,0
15,1,0,85,257,27,0,14,85,0.5714,4826,0.5,0,0,0.3286,0,0,320.6,25.8,147,1,46.66666667
7,0,0,40,105,1,0,6,40,2,1305,0,0,0,0.6571,0,0,185.4286,14.71428571,68,1,28.57142857
7,1,0,19,74,9,0,2,19,0.6111,1241,0.6667,0,0,0.3333,0,0,175.8571,8.714285714,32,1,28.57142857
2,1,0,4,12,1,0,1,4,2,274,0,0,0,0.5,0,0,136,9.5,18,1,50
19,1,0,4,71,77,0,3,4,0.6587,2302,1,0,0,0.3789,0,0,119.7895,8.315789474,31,1,21.05263158
2,0,0,8,52,0,0,1,8,1.7143,353,1,0,0,0.6667,0,0,172,10.5,20,1,50
7,1,0,3,28,0,0,4,3,0.8077,704,1,0,0,0.3095,0,0,97.7143,8,47,1,14.28571429
2,0,0,6,64,1,0,2,6,2,481,0,0,0,1,0,0,239.5,7.5,14,1,50
28,1,0,12,105,164,0,19,12,0.8386,3969,0.2143,0,0,0.1964,0,0,140.25,8.357142857,164,1,7.142857143
6,1,0,7,18,0,0,3,7,0.66,385,0.9,1,0,0.2917,0,0,61.5,5.666666667,17,1,16.66666667
16,1,0,5,33,92,0,0,5,0.9875,1630,0.2188,0,0,0.3083,0,0,98.875,6.0625,19,1,18.75
44,1,0,13,91,204,0,24,13,0.9196,5434,0.7193,1,0,0.1545,0,0,121.2045,8.75,46,1,29.54545455
7,1,0,0,35,3,0,0,0,0.8939,923,0,1,0,0.5,0,0,129.2857,7.857142857,30,1,28.57142857
3,1,0,1,10,3,0,2,1,1.4115,279,0,0,0,0.5,0,0,48.6667,7.333333333,17,1,33.33333333
2,1,0,5,27,1,0,2,5,2,140,0,0,0,0.6667,0,0,60,11,21,1,50
2,1,0,8,26,1,0,2,8,2,208,0,0,0,0.6667,0,0,97.5,13,25,1,50
12,1,0,2,44,0,0,5,2,0.5606,1450,0,0,0,0.6389,0,0,118.8333,5.166666667,21,1,8.333333333
1,1,0,0,17,0,0,1,0,2,143,0,0,0,1,0,0,142,7,7,7,0
3,1,0,5,24,3,0,2,5,1.5,420,1,0,0,0.6667,0,0,136,7.666666667,21,1,33.33333333
2,1,0,1,16,1,0,2,1,2,66,0,0,0,0.75,0,0,32,5,9,1,0
6,1,0,1,29,15,0,3,1,1.2,449,1,0,0,0.4583,0,0,73.6667,6.333333333,24,1,16.66666667
3,4,0,10,40,3,0,2,10,1.5,331,1,0,0.9767,0.4667,0,0,109,9.666666667,26,1,33.33333333
22,0,0,7,65,81,0,19,7,0.3929,1337,1,0,0,0.2818,0,0,59.5909,5.090909091,30,1,13.63636364
1,1,0,9,34,0,0,1,9,2,244,0.2857,0,0,1,0,0,236,18,18,18,100
6,1,0,3,27,0,0,6,3,0.4,379,1,0,0,0.4583,0,0,61.6667,5.333333333,11,1,33.33333333
2,0,0,6,24,1,0,2,6,2,186,0,0,0,0.625,0,0,92,5,9,1,0
2,0,0,4,19,1,0,2,4,2,125,0,0,0,0.625,0,0,61.5,5,9,1,0
4,1,0,1,15,0,0,4,1,0.5714,584,1,0,0,0.6667,0,0,143.25,5.75,11,1,25
7,1,0,3,18,0,0,3,3,0.7315,9736,0.7222,0,0,0.4167,0,0,1387.2857,9.285714286,22,1,42.85714286
4,1,0,3,19,0,0,4,3,0.6667,709,1,0,0,0.45,0,0,174.75,5,9,1,0
7,1,0,3,19,11,0,6,3,0.8095,1028,0.8571,0,0,0.4524,0,0,144.8571,7.714285714,19,1,28.57142857
2,1,0,1,9,1,0,2,1,2,219,0,0,0,0.6667,0,0,108.5,9.5,18,1,50
3,0,0,6,15,1,0,1,6,0.75,477,0.5,0,0,0.6667,0,0,156.6667,12,34,1,33.33333333
2,2,0,5,24,0,0,2,5,0.6667,311,1,0,0.9444,0.6,0,0,153,8.5,16,1,50
2,2,0,4,20,0,0,2,4,0.6667,182,1,0,0.9444,0.6,0,0,88.5,5,9,1,0
9,1,0,1,39,0,0,9,1,0,1152,1,0,0,0.3556,0,0,126.6667,7.777777778,21,1,11.11111111
