Number of Methods,depthOfInheritanceTree,Number of Children ,Coupling between Object Classes,Response for a Class,Lack of Cohesion in Methods,Afferent Coupling ,Number of Public Methods,Efferent Couplings,Lack of Cohesion in Methods 3,Lines of Code,Data Access Metric,Measure of Agregation,Measure of Funcional Abstraction,Cohesion Among Methods,Inheritance Coupling,Coupling Between Methods,Average Method Complexity,Average CC,Max CC,Min CC,Class Complexity CKJM,Flags,Class Complexity,Sum Complex,Average Complex,Number of Graphs,Mean Nodes,Sd Nodes,Sum Nodes,Min Nodes,Max Nodes,Mean Edges,Sd Edges,Sum Edges,Min Edges,Max Edges,Mean Radius,Sd Radius,Sum Radius,Min Radius,Max Radius,Mean Diameter,Sd Diameter,Sum Diameter,Min Diameter,Max Diameter,Mean CenterSize,Sd CenterSize,Sum CenterSize,Min CenterSize,Max CenterSize,Mean PeripherySize,Sd PeripherySize,Sum PeripherySize,Min PeripherySize,Max PeripherySize,Mean AvrShortestPath,Sd AvrShortestPath,Sum AvrShortestPath,Min AvrShortestPath,Max AvrShortestPath,Mean EigenLargestLap,Sd EigenLargestLap,Sum EigenLargestLap,Min EigenLargestLap,Max EigenLargestLap,Mean EigenSecondLargestLap,Sd EigenSecondLargestLap,Sum EigenSecondLargestLap,Min EigenSecondLargestLap,Max EigenSecondLargestLap,Mean AlgebraicConnectivity,Sd AlgebraicConnectivity,Sum AlgebraicConnectivity,Min AlgebraicConnectivity,Max AlgebraicConnectivity,Mean EigenSmallestNonZeroLap,Sd EigenSmallestNonZeroLap,Sum EigenSmallestNonZeroLap,Min EigenSmallestNonZeroLap,Max EigenSmallestNonZeroLap,Mean EigenGapLap,Sd EigenGapLap,Sum EigenGapLap,Min EigenGapLap,Max EigenGapLap,Mean EigenLargestAdj,Sd EigenLargestAdj,Sum EigenLargestAdj,Min EigenLargestAdj,Max EigenLargestAdj,Mean EigenSecondLargestAdj,Sd EigenSecondLargestAdj,Sum EigenSecondLargestAdj,Min EigenSecondLargestAdj,Max EigenSecondLargestAdj,Mean EigenSmallestAdj,Sd EigenSmallestAdj,Sum EigenSmallestAdj,Min EigenSmallestAdj,Max EigenSmallestAdj,Mean EigenSecondSmallestAdj,Sd EigenSecondSmallestAdj,Sum EigenSecondSmallestAdj,Min EigenSecondSmallestAdj,Max EigenSecondSmallestAdj,Mean EigenGapAdj,Sd EigenGapAdj,Sum EigenGapAdj,Min EigenGapAdj,Max EigenGapAdj,Mean EigenStdDevAdj,Sd EigenStdDevAdj,Sum EigenStdDevAdj,Min EigenStdDevAdj,Max EigenStdDevAdj,Mean Energy,Sd Energy,Sum Energy,Min Energy,Max Energy,Mean NodeMean,Sd NodeMean,Sum NodeMean,Min NodeMean,Max NodeMean,Mean NodeMedian,Sd NodeMedian,Sum NodeMedian,Min NodeMedian,Max NodeMedian,Mean NodeStDev,Sd NodeStDev,Sum NodeStDev,Min NodeStDev,Max NodeStDev,Mean MaxDegree,Sd MaxDegree,Sum MaxDegree,Min MaxDegree,Max MaxDegree,Mean MinDegree,Sd MinDegree,Sum MinDegree,Min MinDegree,Max MinDegree,Mean Density,Sd Density,Sum Density,Min Density,Max Density,Mean EdgeConnectivity,Sd EdgeConnectivity,Sum EdgeConnectivity,Min EdgeConnectivity,Max EdgeConnectivity,Mean AvrNodeConnectivity,Sd AvrNodeConnectivity,Sum AvrNodeConnectivity,Min AvrNodeConnectivity,Max AvrNodeConnectivity,Mean ClusteringCoef,Sd ClusteringCoef,Sum ClusteringCoef,Min ClusteringCoef,Max ClusteringCoef,Mean Transitivity,Sd Transitivity,Sum Transitivity,Min Transitivity,Max Transitivity
3,0,0,13,55,0,0,2,13,0.5,304,1,0,0,0.6667,0,0,99.6667,10,28,1,33.33333333,0,0.5,367,367,2,240.5,320.3193719,481,14,467,422.5,579.1204538,845,13,832,16,12.72792206,32,7,25,31.5,26.1629509,63,13,50,1.5,0.707106781,3,1,2,2.5,0.707106781,5,2,3,7.096727353,2.965220259,14.19345471,5,9.193454706,172.9749495,239.0375798,345.949899,3.949855824,342.0000431,6.091087879,3.237347179,12.18217576,3.801937736,8.380238022,0.025565173,0.034759959,0.051130346,0.000986171,0.050144176,0.025565173,0.034759959,0.051130346,0.000986171,0.050144176,166.8838616,235.8002326,333.7677232,0.147918089,333.6198051,10.75706289,12.44616502,21.51412578,1.956295201,19.55783058,2.328197334,0.708671493,4.656394667,1.827090915,2.829303752,-9.701231286,10.95299365,-19.40246257,-17.44616737,-1.956295201,-2.311359214,0.684858796,-4.622718429,-2.795627513,-1.827090915,8.428865556,11.73749353,16.85773111,0.129204286,16.72852683,1.651936852,0.3361915,3.303873704,1.414213562,1.889660142,1.29491108,0.100531457,2.58982216,1.223824605,1.365997555,2.710156011,1.206342771,5.420312022,1.857142857,3.563169165,2.5,0.707106781,5,2,3,8.012290965,10.81753796,16.02458193,0.36313652,15.66144541,171.5,239.7091988,343,2,341,1,0,2,1,1,0.075251714,0.095608514,0.150503429,0.007646286,0.142857143,1,0,2,1,1,1.360574758,0.509929713,2.721149516,1,1.721149516,0.234395351,0.331485084,0.468790702,0,0.468790702,0.009108851,0.01288186,0.018217702,0,0.018217702
15,1,0,36,117,47,0,11,36,0.8155,1632,0.6667,0,0,0.2321,0,0,107,7.2,37,1,13.33333333,12.37113402,0.071428571,17,17,14,101,150.3559878,1414,7,465,102.8571429,150.7279042,1440,6,467,25.35714286,35.15593208,355,3,108,50.28571429,70.25714152,704,6,215,1.714285714,0.994490316,24,1,4,2.214285714,0.425815314,31,2,3,18.33960536,24.42862953,256.7544751,2.666666667,75.59035966,5.889548869,3.263826741,82.45368416,3.801937736,17.01265316,4.472064393,0.56381303,62.6089015,3.246979604,5.336286598,0.033516641,0.056322427,0.469232968,0.0000989,0.198062264,0.033516641,0.056322427,0.469232968,0.0000989,0.198062264,1.417484476,3.079830043,19.84478266,0.04915018,12.03643706,2.604025988,0.889407715,36.45636383,1.847759065,5.438427725,2.074523674,0.260715163,29.04333143,1.414213562,2.340507542,-2.269119258,0.209422508,-31.76766961,-2.78583477,-1.847759065,-2.043604027,0.237958222,-28.61045638,-2.340507542,-1.414213562,0.529502314,0.838996765,7.4130324,0.049006387,3.266913753,1.448096797,0.043239255,20.27335516,1.414213562,1.586314421,1.260372252,0.039670745,17.64521153,1.150668426,1.337406671,2.0270444,0.161546603,28.3786216,1.714285714,2.491803279,2,0,28,2,2,0.582810866,0.439105967,8.159352131,0.353553391,2.094619702,4.428571429,3.994501716,62,2,18,1,0,14,1,1,0.072886013,0.074330591,1.020404182,0.004328884,0.285714286,1,0,14,1,1,1.132002889,0.165126741,15.84804045,1,1.527994995,0.014437962,0.041412995,0.202131462,0,0.154918033,0.024839293,0.057299746,0.347750104,0,0.198113208
8,6,0,18,121,6,0,3,18,0.7381,927,0.5,0,0.9903,0.3,0,0,114.125,5.5,26,1,12.5,0,0.25,607,303.5,8,186.5,254.9285614,1492,8,777,263.125,439.1629823,2105,7,1325,38.75,42.8377337,310,4,137,76,85.66879745,608,7,273,2.75,2.052872552,22,1,6,2.375,0.744023809,19,2,4,26.71676153,28.71982844,213.7340923,3,91.66666667,21.86085297,32.27646566,174.8868238,3.847759065,88.99012476,14.84574621,29.16933388,118.7659697,3.414213562,87.01176471,0.034861242,0.061224762,0.278889933,0.00013146,0.152240935,0.034861242,0.061224762,0.278889933,0.00013146,0.152240935,7.015106763,17.02178379,56.12085411,0.000394363,49.06158105,5.025576718,5.248294492,40.20461374,1.879385242,16.85541761,3.537942605,4.307233247,28.30354084,1.532088886,14.18276868,-4.239773119,4.545352839,-33.91818495,-14.83970338,-1.879385242,-3.285174858,3.6164821,-26.28139886,-12.21935302,-1.532088886,1.487634112,2.10173386,11.9010729,0.0003915,6.136556078,1.541647076,0.16053209,12.33317661,1.414213562,1.847957914,1.298967677,0.060476864,10.39174141,1.189692621,1.373936917,2.334140885,0.54846421,18.67312708,1.75,3.410553411,2,0,16,2,2,1.815918815,2.585074005,14.52735052,0.085279146,7.085999106,20.25,32.28776858,162,2,87,1,0,8,1,1,0.065084054,0.086326695,0.520672433,0.004395043,0.25,1,0,8,1,1,1.192552851,0.242906064,9.540422812,1,1.725146199,0.084701923,0.102968407,0.677615384,0,0.263110789,0.080567075,0.106904995,0.644536597,0,0.279069767
8,6,0,17,124,6,0,3,17,0.7143,1057,0.5,0,0.9903,0.3,0,0,130.625,6.5,25,1,12.5,0,0.375,504,168,8,213.375,214.4574134,1707,19,656,277.125,337.730424,2217,23,1053,49.5,53.3291665,396,6,174,98.5,107.0754073,788,9,348,1.75,1.752549164,14,1,6,2.25,0.46291005,18,2,3,34.81494402,35.7292222,278.5195521,3.883040936,116.6666667,23.70541935,30.52950535,189.6433548,3.997927347,85.9778939,16.32313764,27.41442842,130.5851011,3.991713685,83.01234568,0.015900493,0.039212093,0.127203944,0.000081,0.112682286,0.015900493,0.039212093,0.127203944,0.000081,0.112682286,7.382281714,16.87962949,59.05825371,0.000243084,49.06158105,5.682921773,5.081572796,45.46337418,1.997986133,16.76063135,3.238187866,3.108000427,25.90550293,1.987160392,10.92130818,-4.668526911,4.409296966,-37.34821529,-14.74473015,-1.997986133,-2.978632009,2.397455069,-23.82905607,-8.902189748,-1.991948588,2.444733907,2.685811745,19.55787126,0.000241696,6.136556078,1.549365591,0.137239887,12.39492472,1.414213562,1.79311661,1.315032393,0.040143534,10.52025914,1.262489966,1.37027398,2.381854571,0.438314239,19.05483657,1.971014493,3.210365854,2,0,16,2,2,1.831819524,2.261565129,14.65455619,0.075592272,6.137479592,22,30.21352583,176,2,83,1,0,8,1,1,0.035159601,0.044509101,0.281276804,0.004901322,0.134502924,1,0,8,1,1,1.203692127,0.230732849,9.629537014,1,1.725146199,0.086089413,0.096111581,0.688715307,0,0.263110789,0.097964205,0.102539115,0.783713641,0,0.279069767
2,1,0,0,10,0,0,2,0,0,125,1,0,0,1,0,0,61,5.5,10,1,0,0,0,0,0,2,90,107.4802307,180,14,166,91.5,111.0157646,183,13,170,21,19.79898987,42,7,35,41.5,40.30508653,83,13,70,1.5,0.707106781,3,1,2,2,0,4,2,2,15.11040526,14.29827224,30.22081051,5,25.22081051,4.48477299,0.75648711,8.969545979,3.949855824,5.019690155,4.31651303,0.72771936,8.633026059,3.801937736,4.831088324,0.025847324,0.034360937,0.051694649,0.001550473,0.050144176,0.025847324,0.034360937,0.051694649,0.001550473,0.050144176,0.16825996,0.02876775,0.33651992,0.147918089,0.188601831,2.150393091,0.274495867,4.300786181,1.956295201,2.34449098,2.037353239,0.297355829,4.074706477,1.827090915,2.247615562,-2.150393091,0.274495867,-4.300786181,-2.34449098,-1.956295201,-2.037347107,0.297347157,-4.074694213,-2.247603298,-1.827090915,0.113039852,0.022859962,0.226079704,0.096875418,0.129204286,1.424847344,0.015038438,2.849694688,1.414213562,1.435481125,1.251860664,0.039648975,2.503721328,1.223824605,1.279896724,1.952667814,0.13509269,3.905335628,1.857142857,2.048192771,2,0,4,2,2,0.362535601,0.000849827,0.725071202,0.361934682,0.36313652,2.5,0.707106781,5,2,3,1,0,2,1,1,0.077635216,0.092237733,0.155270432,0.01241329,0.142857143,1,0,2,1,1,1.144140197,0.203845022,2.288280394,1,1.288280394,0,0,0,0,0,0,0,0,0,0
9,1,0,2,19,24,0,7,2,0.75,731,0.5,0,0,0.6667,0,0,80,10.22222222,37,1,33.33333333,0,0.333333333,57,19,9,125.4444444,196.3925349,1129,7,478,130.7777778,205.7278407,1177,6,499,19.66666667,24.46425965,177,3,62,38.44444444,48.84442422,346,6,123,2.111111111,0.78173596,19,1,4,2.333333333,0.5,21,2,3,13.1984281,15.69338815,118.7858529,2.666666667,40.29987682,4.659082161,0.827539543,41.93173945,3.801937736,5.706042507,4.298801394,0.936549995,38.68921255,3.246979604,5.641142984,0.08065287,0.073759824,0.725875826,0.000345646,0.198062264,0.08065287,0.073759824,0.725875826,0.000345646,0.198062264,0.360280767,0.202276749,3.242526905,0.023339654,0.584181185,2.180062682,0.293141749,19.62056414,1.847759065,2.549655556,1.935441306,0.430533149,17.41897176,1.414213562,2.510046391,-2.163797262,0.281005494,-19.47417536,-2.543433911,-1.847759065,-1.928237888,0.411599655,-17.35414099,-2.478439303,-1.414213562,0.244621376,0.178176072,2.201592385,0.007295852,0.433545503,1.441910354,0.029180182,12.97719319,1.414213562,1.490711985,1.242983643,0.056344549,11.18685278,1.150668426,1.299342146,1.941137593,0.176527524,17.47023834,1.714285714,2.136363636,2,0,18,2,2,0.461465227,0.065728142,4.153187046,0.388983552,0.567130873,2.888888889,0.927960727,26,2,4,1,0,9,1,1,0.138724751,0.111166672,1.24852276,0.004377078,0.285714286,1,0,9,1,1,1.123467593,0.142054557,10.11120834,1,1.391812866,0,0,0,0,0,0,0,0,0,0
12,1,0,6,61,42,0,3,6,0.7955,980,1,0,0,0.2917,0,0,80.3333,8.416666667,29,1,25,0,0.25,74,24.66666667,12,119.25,142.3836846,1431,8,480,125.6666667,153.0557435,1508,7,511,24,21.54487916,288,4,69,46.58333333,43.33476105,559,7,137,3.166666667,3.270622219,38,1,11,2.25,0.452267017,27,2,3,17.12382541,15.14976203,205.4859049,3,50.60975122,5.764249865,1.860784672,69.17099838,3.847759065,9.302615383,4.6832113,0.837218386,56.1985356,3.414213562,6.485384257,0.022997681,0.041989717,0.27597217,0.000177209,0.152240935,0.022997681,0.041989717,0.27597217,0.000177209,0.152240935,1.081038565,1.435409111,12.97246278,0.006064898,4.809842674,2.419760755,0.426389938,29.03712906,1.879385242,3.209735818,2.163656851,0.308470674,25.96388221,1.532088886,2.693974383,-2.418299328,0.426866924,-29.01959194,-3.209735818,-1.879385242,-2.158541154,0.302386959,-25.90249384,-2.684105119,-1.532088886,0.256103905,0.31309419,3.073246855,0.012222705,1.109166839,1.44459537,0.028066283,17.33514444,1.414213562,1.505545305,1.272219417,0.035054058,15.26663301,1.189692621,1.314503011,2.03264768,0.127894961,24.39177216,1.75,2.217391304,2,0,24,2,2,0.440013359,0.195651702,5.280160311,0.276887462,1.009137002,4.166666667,2.124888589,50,2,8,1,0,12,1,1,0.054930175,0.06685045,0.659162102,0.004445024,0.25,1,0,12,1,1,1.277595795,0.307205112,15.33114954,1,1.828963211,0,0,0,0,0,0,0,0,0,0
43,1,0,5,64,195,0,7,5,0.8246,6140,0.1333,0,0,0.3175,0,0,141.093,8.976744186,112,1,27.90697674,0,0.142857143,318,53,42,158.7380952,264.0819403,6667,6,1499,167.5,289.6863106,7035,5,1670,17.54761905,12.23789074,737,3,52,33.78571429,23.16487639,1419,5,99,2.19047619,2.596790658,92,1,15,2.833333333,1.885977351,119,2,13,12.00635729,7.222194806,504.2670064,2.333333333,32.19278198,11.48695797,15.57451916,482.4522346,3.732050808,93.02495352,6.343223125,6.668738834,266.4153712,3,45.98018177,0.034199075,0.056550627,1.436361163,0.000381385,0.267949192,0.034199075,0.056550627,1.436361163,0.000381385,0.267949192,5.143734841,10.0067057,216.0368633,0.017570755,47.04477176,3.210194779,1.623049969,134.8281807,1.801937736,9.708385082,2.44052592,0.991139594,102.5020886,1.246979604,6.645164864,-2.94610149,1.550429746,-123.7362626,-9.707687063,-1.801937736,-2.230412085,0.821607597,-93.67730756,-6.645105567,-1.246979604,0.769668859,0.924276155,32.32609208,0.016745942,4.69316039,1.441157547,0.028573709,60.52861699,1.414213562,1.515494794,1.253564236,0.036912363,52.6496979,1.150668426,1.320128559,2.005871456,0.138197969,84.24660116,1.666666667,2.292307692,2,0,84,2,2,0.701469378,0.505681165,29.46171386,0.21808479,2.7820198,10.02380952,15.77043869,421,2,92,1,0,42,1,1,0.071860637,0.079131574,3.018146767,0.001487418,0.333333333,1,0,42,1,1,1.145642456,0.278404848,48.11698316,1,1.957918541,0.01421596,0.025763235,0.597070338,0,0.099206349,0.036043815,0.063388508,1.513840249,0,0.230769231
5,3,0,1,21,0,0,4,1,0.55,387,0.4,0,0.913,0.4,1,1,75.4,5.4,14,1,20,9.090909091,0.2,13,13,5,106.8,119.6858388,534,21,294,109.8,124.1962157,549,20,301,24.6,21.48953234,123,10,62,47.2,43.07783653,236,20,123,4.6,6.949820142,23,1,17,2.4,0.894427191,12,2,4,16.76230158,15.63632796,83.81150791,7.333333333,44.40844188,5.978819753,3.993580008,29.89409876,3.977661652,13.09090951,5.746350829,3.57302798,28.73175414,3.911145612,12.09999911,0.011476657,0.009459717,0.057383287,0.000336194,0.022338348,0.011476657,0.009459717,0.057383287,0.000336194,0.022338348,0.232468924,0.424493299,1.162344621,0.021563156,0.990910403,2.369731264,0.70963534,11.84865632,1.979642884,3.618992962,2.308559475,0.667166831,11.54279737,1.918985947,3.47721321,-2.369288159,0.709709592,-11.84644079,-3.61899296,-1.979642884,-2.30855947,0.667166831,-11.54279735,-3.47721321,-1.918985947,0.06117179,0.048285985,0.305858949,0.020446379,0.141779751,1.428528078,0.02285033,7.142640392,1.414213562,1.46660949,1.257351156,0.020222206,6.286755781,1.236364472,1.283168754,1.988983561,0.10102427,9.944917807,1.904761905,2.1375,2,0,10,2,2,0.431949705,0.362648227,2.159748524,0.229243435,1.07859389,4.2,4.38178046,21,2,12,1,0,5,1,1,0.052126619,0.04153384,0.260633097,0.006988461,0.095238095,1,0,5,1,1,1.201112199,0.356042042,6.005560997,1,1.821933962,0,0,0,0,0,0,0,0,0,0
4,1,0,2,13,0,0,4,2,0.6471,246,0,0,0,0.3571,0,0,56.25,6.5,23,1,25,0,0.25,11,11,4,84.75,82.53635563,339,18,199,86.25,87.17176531,345,17,208,28.25,18.92749323,113,9,45,56.25,38.19576765,225,17,90,1.25,0.5,5,1,2,2.25,0.5,9,2,3,19.36982894,12.68025088,77.47931577,6.333333333,30.66666667,4.625216643,1.278383206,18.50086657,3.969615506,6.542704137,4.592258205,1.296300274,18.36903282,3.879385242,6.535353151,0.010634728,0.013880864,0.042538914,0.000701348,0.030384494,0.010634728,0.013880864,0.042538914,0.000701348,0.030384494,0.032958438,0.040018584,0.131833751,0.003573736,0.090230264,2.166888878,0.359325031,8.667555513,1.972722607,2.705629408,2.134833735,0.373146613,8.539334942,1.891634483,2.690792359,-2.166888878,0.359325031,-8.667555513,-2.705629408,-1.972722607,-2.134833735,0.373146613,-8.539334942,-2.690792359,-1.891634483,0.032055143,0.034287485,0.128220571,0.003496506,0.081088123,1.423031709,0.017636294,5.692126838,1.414213562,1.449486151,1.258012597,0.021280917,5.032050388,1.234396176,1.283786284,1.97321175,0.08622106,7.892846999,1.888888889,2.090452261,2,0,8,2,2,0.313528662,0.163482976,1.254114647,0.147423952,0.533578823,2.75,1.5,11,2,5,1,0,4,1,1,0.052040775,0.045714848,0.208163102,0.01055784,0.111111111,1,0,4,1,1,1.013324197,0.026648393,4.053296787,1,1.053296787,0,0,0,0,0,0,0,0,0,0
2,1,0,1,5,0,0,2,1,0.8333,544,0,0,0,0.75,0,0,232,34.5,68,1,50,0,0.5,62,62,2,275,192.3330445,550,139,411,304.5,235.4665581,609,138,471,47.5,30.40559159,95,26,69,94.5,61.51828996,189,51,138,1.5,0.707106781,3,1,2,3,1.414213562,6,2,4,29.31603466,24.5374991,58.63206931,11.96540265,46.66666667,24.52326409,29.0250008,49.04652818,3.999489199,45.04703898,13.05015639,12.80174307,26.10031279,3.997957057,22.10235573,0.0007932,0.000399373,0.0015864,0.000510801,0.001075599,0.0007932,0.000399373,0.0015864,0.000510801,0.001075599,11.4731077,16.22325773,22.9462154,0.001532142,22.94468325,4.39191826,3.383395343,8.78383652,1.99949647,6.784340051,3.399597854,1.982178305,6.799195708,1.997986133,4.801209575,-4.391608515,3.382957297,-8.783217031,-6.783720561,-1.99949647,-3.399597854,1.982178305,-6.799195708,-4.801209575,-1.997986133,0.992320406,1.401217038,1.984640812,0.001510337,1.983130475,1.464992158,0.071811778,2.929984315,1.414213562,1.515770753,1.286639589,0.026420832,2.573279177,1.267957239,1.305321938,2.138791157,0.216628733,4.277582314,1.985611511,2.291970803,2,0,4,2,2,1.208714231,1.54035802,2.417428462,0.11951663,2.297911832,23,29.69848481,46,2,44,1,0,2,1,1,0.009989331,0.006221349,0.019978662,0.005590173,0.014388489,1,0,2,1,1,1.192154768,0.271747879,2.384309537,1,1.384309537,0,0,0,0,0,0,0,0,0,0
28,1,0,9,111,170,0,2,9,0.8,3759,0.65,0,0,0.1717,0,0,132.5357,6.785714286,33,1,17.85714286,20.2166065,0.185185185,185,37,27,128.9259259,192.0416473,3481,7,927,136.5185185,208.4422758,3686,6,1004,20.44444444,14.36966177,552,3,60,39.48148148,27.91383772,1066,6,113,2.851851852,3.59169666,77,1,18,2.518518519,0.893152169,68,2,5,13.81859482,9.150552644,373.10206,2.666666667,40.88302683,8.157235949,8.830540077,220.2453706,3.801937736,43.03901378,5.558179109,3.078097164,150.070836,3.246979604,16.07692444,0.02748615,0.046535439,0.742126046,0.000260161,0.198062264,0.02748615,0.046535439,0.742126046,0.000260161,0.198062264,2.599056839,5.911694828,70.17453465,0.000364401,26.96208934,2.705712392,1.132914928,73.05423458,1.847759065,6.605278289,2.263430083,0.557136815,61.11261225,1.414213562,4.019641046,-2.692722113,1.135391249,-72.70349705,-6.604108787,-1.847759065,-2.257764462,0.557284277,-60.95964047,-4.019641046,-1.414213562,0.442282309,0.643218385,11.94162234,0.003103091,2.585637243,1.443405291,0.023732094,38.97194286,1.414213562,1.493575988,1.264851602,0.039314557,34.15099326,1.150668426,1.306545904,2.020276776,0.128270526,54.54747296,1.714285714,2.205882353,2,0,54,2,2,0.518707677,0.335722471,14.00510729,0.206184571,1.600819196,6.481481481,9.069689039,175,2,42,1,0,27,1,1,0.063684411,0.075203937,1.719479091,0.00233923,0.285714286,1,0,27,1,1,1.304471829,0.30601283,35.22073939,1,1.843891653,0,0,0,0,0,0,0,0,0,0
4,1,0,8,49,6,0,2,8,2,464,0,0,0,0.25,0,0,115,9.75,36,1,25,0,0.25,1488,1488,4,217,418.6669321,868,7,845,587.75,1162.166762,2351,6,2331,14,20.67204231,56,3,45,27.5,41.66933325,110,6,90,1.5,0.577350269,6,1,2,2,0,8,2,2,4.480850323,3.187798016,17.92340129,2.666666667,9.256734625,188.8743653,370.0837607,755.4974613,3.801937736,744.0000054,80.26887017,153.8208227,321.0754807,3.246979604,311.000074,0.125740113,0.086296262,0.50296045,0.000416316,0.198062264,0.125740113,0.086296262,0.50296045,0.000416316,0.198062264,108.6054952,216.2629651,434.4219806,0.433545503,432.9999315,10.28375593,16.8298321,41.13502373,1.847759065,35.52849418,5.235814237,7.486240478,20.94325695,1.414213562,16.46486561,-9.158698299,14.57971786,-36.6347932,-31.02826365,-1.847759065,-4.784817273,6.584274801,-19.13926909,-14.66087776,-1.414213562,5.047941695,9.343879707,20.19176678,0.347296355,19.06362857,1.648160727,0.46789433,6.59264291,1.414213562,2.350002223,1.242033587,0.131986374,4.968134348,1.150668426,1.43808068,2.682861369,1.889607266,10.73144548,1.714285714,5.517159763,2.25,0.5,9,2,3,7.693104039,14.44369948,30.77241616,0.46291005,29.35864602,187.25,370.5,749,2,743,1,0,4,1,1,0.198062801,0.128789093,0.792251205,0.006536919,0.285714286,1,0,4,1,1,1.329976303,0.659952607,5.319905213,1,2.319905213,0.163107359,0.326214719,0.652429438,0,0.652429438,0.00526706,0.010534119,0.021068239,0,0.021068239
3,1,0,0,5,3,0,3,0,1.5,130,0,0,0,0.3333,0,0,37.6667,5.666666667,14,1,33.33333333,0,0,0,0,3,67,63.78871374,201,7,134,66,63.78871374,198,6,133,16,21.65640783,48,3,41,31.66666667,42.73562136,95,6,81,1.333333333,0.577350269,4,1,2,6.333333333,6.658328118,19,2,14,12.08822833,14.58988376,36.26468499,2.666666667,28.89406352,8.131152814,6.885849203,24.39345844,3.801937736,16.07142844,3.765849992,0.667204954,11.29754998,3.246979604,4.518481486,0.106530026,0.099326418,0.319590079,0.000913056,0.198062264,0.106530026,0.099326418,0.319590079,0.000913056,0.198062264,4.365302822,7.084328175,13.09590847,0.001610781,12.53933955,2.669970113,1.169512722,8.009910339,1.847759065,4.008834631,1.72750256,0.380037713,5.182507681,1.414213562,2.15026013,-2.669970113,1.169512722,-8.009910339,-4.008834631,-1.847759065,-1.72750256,0.380037713,-5.182507681,-2.15026013,-1.414213562,0.942467553,1.27262789,2.827402658,0.003056513,2.390800643,1.414213562,2.72E-16,4.242640687,1.414213562,1.414213562,1.202569067,0.053234657,3.607707201,1.150668426,1.257044313,1.888675669,0.15130633,5.666027008,1.714285714,1.985074627,2,0,6,2,2,0.904061739,0.746300326,2.712185217,0.458586823,1.765648358,6.666666667,7.234178138,20,2,15,1,0,3,1,1,0.111324331,0.15130633,0.333972992,0.014925373,0.285714286,1,0,3,1,1,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0
2,5,0,11,31,0,0,2,11,0.75,392,0.125,1,0.9985,0.6,1,1,191,5,9,1,0,0,0,0,0,2,259,166.8772004,518,141,377,261.5,161.9274529,523,147,376,107,114.5512986,214,26,188,205,241.8305192,410,34,376,7,8.485281374,14,1,13,12.5,14.8492424,25,2,23,71.09878419,77.64204398,142.1975684,16.19756839,126,5.648209379,2.331018262,11.29641876,3.999930559,7.296488199,4.742656989,1.050668395,9.485313978,3.999722242,5.485591736,0.002977938,0.004113236,0.005955876,0.0000694,0.005886435,0.002977938,0.004113236,0.005955876,0.0000694,0.005886435,0.90555239,1.280349866,1.81110478,0.000208317,1.810896463,2.381851458,0.540117196,4.763702915,1.999930926,2.763771989,2.195529711,0.276911504,4.391059423,1.999723709,2.391335713,-2.380821377,0.538660442,-4.761642755,-2.761711829,-1.999930926,-2.19551395,0.276889213,-4.391027899,-2.39130419,-1.999723709,0.186321746,0.263205692,0.372643493,0.000207217,0.372436276,1.431675618,0.024695077,2.863351237,1.414213562,1.449137675,1.279442355,0.011508736,2.55888471,1.27130445,1.28758026,2.039900672,0.06393053,4.079801343,1.99469496,2.085106383,2,0,4,2,2,0.263850645,0.270272986,0.527701289,0.072738784,0.454962506,4,2.828427125,8,2,6,1,0,2,1,1,0.010099328,0.006780148,0.020198657,0.00530504,0.014893617,1,0,2,1,1,1.425278622,0.601434795,2.850557244,1,1.850557244,0,0,0,0,0,0,0,0,0,0
7,0,0,5,37,19,0,6,5,2,636,0,0,0,0.4048,0,0,89.8571,5.714285714,10,1,0,0,0,0,0,7,126.7142857,70.14916081,887,11,227,131,72.82856582,917,10,235,33.14285714,19.1696685,232,5,58,65.57142857,38.08261696,459,10,115,2,1.414213562,14,1,5,2.857142857,0.690065559,20,2,4,22.62780537,12.62358857,158.3946376,4,40.13415893,5.751610956,1.85825869,40.26127669,3.918985947,9.189930155,4.708721012,0.538021959,32.96104709,3.682507066,5.333873676,0.013265024,0.029900848,0.092855166,0.000557031,0.081014053,0.013265024,0.029900848,0.092855166,0.000557031,0.081014053,1.042889944,1.721188341,7.300229606,0.001558542,4.603995208,2.453703715,0.383836188,17.175926,1.931851653,3.075083684,2.189987355,0.21253148,15.32991148,1.732050808,2.38672555,-2.434769164,0.383543573,-17.04338415,-3.075083684,-1.931851653,-2.188784763,0.212276037,-15.32149334,-2.38672555,-1.732050808,0.26371636,0.318705087,1.846014519,0.004612508,0.888257192,1.440766913,0.012927168,10.08536839,1.414213562,1.455694892,1.273603469,0.032897854,8.915224284,1.199228021,1.290898162,2.03616984,0.096882438,14.25318888,1.818181818,2.094117647,2,0,14,2,2,0.388137942,0.064404179,2.716965596,0.301127339,0.465025676,4.142857143,2.115700942,29,2,8,1,0,7,1,1,0.039782697,0.062891763,0.278478882,0.009161436,0.181818182,1,0,7,1,1,1.304498247,0.270184257,9.131487729,1,1.649526334,0,0,0,0,0,0,0,0,0,0
