depthOfInheritanceTree,Coupling between Object Classes,Response for a Class,Lack of Cohesion in Methods,Afferent Coupling ,Efferent Couplings,Lack of Cohesion in Methods 3,Data Access Metric,Cohesion Among Methods,Inheritance Coupling,Coupling Between Methods,Average Method Complexity,Average CC,Max CC,Min CC
5,3,8,3,0,3,2,0,0.5556,0,0,7,1,1,1
1,5,39,65,0,5,0.7619,1,0.1737,0,0,15.7368,1.842105263,5,1
0,27,125,169,0,27,0.7225,1,0.1933,0,0,44.0385,1.384615385,5,1
1,21,34,0,0,21,0.6667,1,0.3333,0,0,24.4286,1.714285714,3,1
1,9,16,1,0,9,0.5333,1,0.36,0,0,11.8333,1.666666667,2,1
1,8,37,57,0,8,0.3654,1,0.2381,0,0,9.6429,1.142857143,2,1
0,14,29,21,0,14,0.9111,1,0.2444,0,0,7.8,1,1,1
0,9,25,34,0,9,1,1,0.2963,0,0,12.2222,1.666666667,3,1
1,1,4,1,0,1,2,0,0.5,0,0,5,1,1,1
1,7,47,72,0,7,0.625,1,0.2132,0,0,15.6471,1.588235294,5,1
0,14,44,25,0,14,0.7714,1,0.2833,0,0,17.0909,2.090909091,4,1
6,14,125,387,0,14,0.9049,0.931,0.1187,4,6,31.1176,1.235294118,5,1
6,10,86,319,0,10,0.9061,0.7778,0.1586,4,6,26.7667,1.766666667,8,1
1,11,28,22,0,11,0.8125,1,0.2222,0,0,19.5556,2.111111111,9,1
0,30,100,100,0,30,0.7467,1,0.188,0,0,31,1.5,5,1
1,22,93,13,0,22,0.6798,1,0.1724,0,0,27.7,1.733333333,6,1
0,27,131,327,0,27,0.8917,1,0.1542,0,0,38.6129,1.387096774,5,1
6,1,6,0,0,1,0,1,0.5833,1,1,18,2,3,1
1,17,28,0,0,17,0.6667,1,0.4167,0,0,21.7143,1.571428571,3,1
1,8,17,1,0,8,0.7333,1,0.45,0,0,11.3333,1.666666667,2,1
0,12,41,58,0,12,0.8636,1,0.2727,0,0,11.0833,1.25,3,1
0,13,22,15,0,13,0.9167,1,0.2667,0,0,9,1,1,1
0,7,19,17,0,7,0.7778,1,0.3714,0,0,10.5714,1.571428571,3,1
6,7,47,46,0,7,0.7636,1,0.3182,0,0,25.3333,1.166666667,3,1
0,16,42,33,0,16,0.825,1,0.35,0,0,13.1818,1.454545455,3,1
1,36,176,299,0,36,0.8333,0.9,0.102,0,0,33.7174,2.413043478,8,1
1,14,73,648,0,14,0.8991,1,0.1375,1,1,13.825,1.475,6,1
2,0,5,1,0,0,2,0,1,0,0,72,1,1,1
1,0,14,42,0,0,0.869,1,0.4872,0,0,4.8462,1,1,1
1,0,8,3,0,0,0.7917,1,0.3571,0,0,4.7143,1,1,1
1,0,18,52,0,0,0.9583,0.625,0.3077,1,1,7.5385,1.538461538,7,1
1,4,40,33,0,4,0.8824,0.4286,0.2292,0,0,36.5556,4,14,1
1,0,2,0,0,0,2,0,1,0,0,9,1,1,1
1,0,2,0,0,0,2,0,1,0,0,3,1,1,1
1,0,2,0,0,0,2,0,1,0,0,3,1,1,1
6,5,19,1,0,5,1,0.2,0.5,0,0,44,1,1,1
1,16,53,25,0,16,0.3556,1,0.3333,0,0,25.9,1.3,2,1
0,4,28,4,0,4,1.0556,0.5,0.5556,0,0,46.75,1,1,1
1,8,13,13,0,8,0.7778,1,0.3889,0,0,4.7143,1,1,1
5,13,76,311,0,13,0.8875,1,0.2552,0,0,23.2333,1.3,7,1
1,8,13,13,0,8,0.7778,1,0.3889,0,0,4.7143,1,1,1
5,7,61,89,0,7,0.8025,1,0.3333,0,0,26.1053,1.052631579,2,1
1,16,41,12,0,16,0.8036,0.8571,0.3125,0,0,27.8889,1.666666667,3,1
5,8,37,8,0,8,0.6071,0.5,0.3571,0,0,26.75,1.5,2,1
5,6,13,6,0,6,0.9167,1,0.3,0,0,10.2,1,1,1
5,7,33,52,0,7,0.9091,1,0.4091,0,0,8.0833,1.166666667,2,1
