NoGenSM,NoSM,NoPubSM,NoProSM,NoPriSM,NoDefSM,NoGenM,NoM,NoPubM,NoProM,NoPriM,NoDefM,NoAM,NoPubAM,NoProAM,NoDefAM,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
0.124083474,0.944500846,0.656514382,0.01500282,0.177326565,0.095657078,0.025606317,5.637450649,4.367287084,0.417935702,0.584771574,0.267456289,0.695882685,0.669712352,0.014890017,0.011280316,1.73,1.72,1.82,1.07,233.02,34.12,109.55,54.39,"1,251","2,220","8,901","9,435","1,117","9,813","26,886","8,062","29,106","26,394","1,083","4,275","1,413","22,335","260,280","38,108","122,363","38,029","59,922","60,754","9,331,636","60,866","78,976","35,942","43,034","17,151","17,063","18,079","10,617","4,873",51,51,53,38,91,7,0,0.5,"17,151","17,063","18,079","10,617"
0.122007878,1.018078982,0.731542268,0.016765983,0.178971821,0.090798909,0.043328957,5.511261489,4.246742753,0.41036259,0.578325422,0.275830724,0.648419352,0.622159378,0.014745985,0.011513988,1.73,1.72,1.82,1.07,236.55,34.4,112.05,54.35,"1,277","2,241","9,078","9,584","1,135","9,964","27,321","8,152","29,562","26,875","1,095","4,386","1,416","22,665","268,482","39,044","127,176","40,188","61,085","61,685","11,975,485","61,896","80,323","36,571","43,752","17,460","17,368","18,412","10,795","4,978",51,51,53,38,91,7,0,0.49,"17,460","17,368","18,412","10,795"
0.131508423,0.95300536,0.647492343,0.014931087,0.203962481,0.086619449,0.049004594,5.535509188,4.254785605,0.408594946,0.591117917,0.28101072,0.636964012,0.60901608,0.01550536,0.012442573,1.74,1.73,1.84,1.08,239.51,35.1,113.21,54.46,"1,345","2,379","9,444","9,961","1,174","10,340","28,336","8,547","30,715","28,081","1,159","4,521","1,491","23,544","281,185","41,206","132,905","41,911","63,488","63,938","12,203,554","64,226","83,518","38,143","45,375","18,244","18,142","19,240","11,276","5,217",51,51,53,38,91,7,0,0.48,"18,244","18,142","19,240","11,276"
0.130426486,0.953248736,0.647552714,0.014884076,0.203988169,0.086823776,0.049422765,5.546703559,4.259898865,0.411315714,0.594790573,0.280698407,0.636485068,0.608625131,0.01545654,0.012403397,1.76,1.75,1.85,1.08,241.8,35.41,113.82,54.65,"1,354","2,409","9,513","10,157","1,179","10,496","28,552","8,625","30,961","28,277","1,159","4,551","1,491","23,760","285,085","41,744","134,193","42,257","64,038","64,427","12,283,483","64,731","84,822","38,617","46,205","18,695","18,586","19,712","11,491","5,286",51,51,53,38,91,7,0,0.48,"18,695","18,586","19,712","11,491"
0.131790744,0.963874154,0.649533565,0.015182001,0.202030364,0.097128224,0.044814341,5.503841229,4.224163161,0.40186574,0.60023779,0.277574538,0.639930492,0.611212731,0.015456375,0.013261387,1.76,1.75,1.86,1.08,244.22,35.79,114.79,54.99,"1,370","2,433","9,867","10,331","1,194","10,669","29,052","8,822","31,485","28,728","1,170","4,647","1,518","24,150","291,601","42,737","137,064","43,073","65,483","65,664","14,011,273","66,066","86,508","39,368","47,140","19,041","18,928","20,079","11,688","5,376",51,51,53,38,91,7,0,0.48,"19,041","18,928","20,079","11,688"
0.133895668,0.9480796,0.642617312,0.015969208,0.199819835,0.089673245,0.08615183,5.418393252,4.182048972,0.39480796,0.585947097,0.255589223,0.640733765,0.61198919,0.016460568,0.012284006,1.77,1.76,1.87,1.08,214.23,25.04,117.3,57.35,"1,336","2,361","9,591","10,095","1,156","10,396","28,331","8,712","30,692","27,809","1,119","4,542","1,500","23,531","247,651","28,947","135,595","41,809","64,042","66,299","25,182,023","64,259","84,318","38,224","46,094","18,659","18,549","19,697","11,413","5,279",51,51,53,38,91,7,0,0.49,"18,659","18,549","19,697","11,413"
0.244735797,1.062971792,0.782032181,0.015991259,0.198053238,0.066895113,0.226410409,4.973033373,3.8628824,0.374453715,0.523192292,0.212504966,0.531336909,0.500993246,0.021702424,0.00864124,2.16,2.13,2.74,1.17,236.37,27.36,127.4,56.56,"1,563","2,514","10,308","20,029","1,718","20,126","30,911","9,399","33,425","30,117","1,253","4,962","1,815","25,395","406,092","47,010","218,866","46,662","67,994","97,173","2,615,854,087","68,361","148,607","57,499","91,108","44,731","44,155","56,757","24,176","5,101",66,64,134,38,105,12,0,0.44,"44,544","43,968","56,502","24,079"
0.244912107,1.087843526,0.789700421,0.015845506,0.215102748,0.06719485,0.226739292,4.958455063,3.865907403,0.374944293,0.50477841,0.212824957,0.530032186,0.499579104,0.021787571,0.008665511,2.16,2.13,2.74,1.17,237.7,27.28,127.84,56.6,"1,586","2,538","10,461","20,119","1,734","20,218","31,216","9,397","33,754","30,800","1,255","5,016","1,884","25,599","412,174","47,308","221,681","47,166","68,710","98,138","2,638,558,078","68,985","149,248","57,876","91,372","44,892","44,316","56,918","24,313","5,162",66,64,134,38,105,12,0,0.44,"44,705","44,129","56,665","24,216"
0.277202679,1.062672725,0.767857979,0.015504239,0.212047403,0.067263104,0.241884866,5.029228535,3.849454307,0.452199166,0.492388402,0.23518666,0.537776945,0.506627945,0.021921401,0.009227598,2.14,2.11,2.71,1.17,235.83,27.04,127.2,55,"1,526","2,607","10,464","20,486","1,787","20,538","31,763","9,649","34,370","30,686","1,174","5,181","1,920","26,095","421,433","48,316","227,300","48,368","69,606","98,280","2,634,180,598","70,337","150,914","58,771","92,143","45,190","44,607","57,218","24,692","5,096",66,64,134,38,105,12,0,0.43,"45,002","44,419","56,968","24,596"
0.278860847,1.078721926,0.781755036,0.015327622,0.213567956,0.068071313,0.244408428,5.034683955,3.850011577,0.457235471,0.492660338,0.234776569,0.534753415,0.503635101,0.021949525,0.009168789,2.13,2.1,2.69,1.17,259.74,34.38,129.01,55.12,"1,542","2,637","10,536","20,716","1,806","20,767","32,382","9,805","35,019","31,049","1,188","5,271","1,935","26,625","469,096","62,088","232,990","49,322","70,594","99,542","2,634,181,288","71,387","152,304","59,549","92,755","45,521","44,936","57,570","24,963","5,191",66,64,134,38,105,12,0,0.43,"45,334","44,749","57,317","24,866"
