"Component","NumberOfChanges","NumberConsecutiveChanges","NumberCodeBursts","TotalBurstSize","MaximumCodeBurst","NumberOfChangesEarly","NumberOfConsecutiveChangesEarly","NumberCodeBurstsEarly","TotalBurstSizeEarly","MaximumCodeBurstEarly","NumberOfChangesLate","NumberConsecutiveChangesLate","NumberCodeBurstsLate","TotalBurstSizeLate","MaximumCodeBurstLate","TimeFirstBurst","TimeLastBurst","TimeMaxBurst","PeopleTotal","TotalPeopleInBurst","MaxPeopleInBurst","ChurnTotal","TotalChurnInBurst","MaxChurnInBurst"
"mutable/MutableObject","5","4","4","5","2","2","2","2","2","1","3","2","2","3","2","124","447","381","3","3","1","42","42","24"
"time/DurationFormatUtils","5","4","4","5","2","2","2","2","2","1","3","2","2","3","2","124","447","447","3","3","1","19","19","8"
"IDKey","3","2","2","3","2","3","2","2","3","2","0","0","0","0","0","82","115","115","2","2","1","146","146","74"
"exception/ContextedRuntimeException","7","4","4","7","3","2","2","2","2","1","5","3","3","5","2","287","447","359","3","3","1","324","324","179"
"CharSetUtils","5","5","5","5","1","3","3","3","3","1","2","2","2","2","1","144","447","144","3","3","1","111","111","87"
"text/translate/AggregateTranslator","7","7","7","7","1","4","4","4","4","1","3","3","3","3","1","231","447","231","3","3","1","72","72","53"
"Entities","7","7","7","7","1","7","7","7","7","1","0","0","0","0","0","16","231","16","2","2","1","1068","1068","1010"
"concurrent/ConcurrentUtils","4","4","4","4","1","1","1","1","1","1","3","3","3","3","1","309","447","309","3","3","1","174","174","119"
"text/translate/NumericEntityUnescaper","4","4","4","4","1","2","2","2","2","1","2","2","2","2","1","231","447","231","3","3","1","73","73","66"
"text/StrBuilder","12","10","10","12","2","10","8","8","10","2","2","2","2","2","1","69","447","266","3","3","1","171","171","61"
"mutable/MutableShort","9","8","8","9","2","5","5","5","5","1","4","3","3","4","2","124","447","379","3","3","1","118","118","76"
"text/translate/UnescapeUtils","8","7","7","8","2","6","5","5","6","2","2","2","2","2","1","231","412","254","3","3","1","310","310","131"
"math/DoubleRange","5","5","5","5","1","3","3","3","3","1","2","2","2","2","1","124","406","124","3","3","1","468","468","435"
"time/FastDateFormat","7","7","7","7","1","5","5","5","5","1","2","2","2","2","1","124","447","124","3","3","1","57","57","34"
"enum/EnumUtils","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","101","101","101","1","1","1","128","128","128"
"Range","11","3","3","11","6","0","0","0","0","0","11","3","3","11","6","397","447","397","2","2","2","526","526","426"
"time/StopWatch","5","4","4","5","2","3","2","2","3","2","2","2","2","2","1","97","447","97","3","3","1","73","73","68"
"IntHashMap","2","2","2","2","1","2","2","2","2","1","0","0","0","0","0","221","233","221","1","1","1","368","368","364"
"math/FloatRange","5","5","5","5","1","3","3","3","3","1","2","2","2","2","1","124","406","124","3","3","1","462","462","429"
"time/DateFormatUtils","3","2","2","3","2","0","0","0","0","0","3","2","2","3","2","384","447","447","2","2","1","6","6","4"
"UnhandledException","2","2","2","2","1","2","2","2","2","1","0","0","0","0","0","165","275","165","1","1","1","75","75","71"
